Distance_(µm),Gray_Value
380.899993896,24.930427551
381.549987793,25.042968750
382.200012207,25.220842361
382.850006104,25.096269608
383.500000000,24.901153564
384.149993896,24.790233612
384.799987793,24.781755447
385.450012207,24.570312500
386.100006104,24.335281372
386.750000000,24.406562805
387.399993896,24.340187073
388.049987793,23.876817703
388.700012207,23.460603714
389.350006104,23.360177994
390.000000000,23.159887314
390.649993896,23.008497238
391.299987793,22.831308365
391.950012207,22.914134979
392.600006104,23.138601303
393.250000000,23.303897858
393.899993896,23.475814819
394.549987793,23.587232590
395.200012207,24.062875748
395.850006104,24.573814392
396.500000000,24.630630493
397.149993896,24.806585312
397.799987793,25.293090820
398.450012207,25.686727524
399.100006104,26.252243042
399.750000000,26.831947327
400.399993896,26.855449677
401.049987793,26.451984406
401.700012207,26.278331757
402.350006104,26.244480133
403.000000000,26.108182907
403.649993896,25.958932877
404.299987793,25.763069153
404.950012207,25.689754486
405.600006104,25.550916672
406.250000000,25.526782990
406.899993896,25.495573044
407.549987793,25.069318771
408.200012207,24.578573227
408.850006104,24.066946030
409.500000000,23.893665314
410.149993896,23.831562042
410.799987793,23.685487747
411.450012207,23.588771820
412.100006104,23.644489288
412.750000000,23.528526306
413.399993896,23.356472015
414.049987793,23.286405563
414.700012207,23.082304001
415.350006104,22.956180573
416.000000000,22.977376938
416.649993896,22.920597076
417.299987793,22.983514786
417.950012207,23.073089600
418.600006104,22.753067017
419.250000000,22.516324997
419.899993896,22.283115387
420.549987793,22.270956039
421.200012207,22.370796204
421.850006104,22.552017212
422.500000000,22.507949829
423.149993896,22.354867935
423.799987793,22.277002335
424.450012207,22.320993423
425.100006104,22.231046677
425.750000000,22.121379852
426.399993896,22.365043640
427.049987793,22.443660736
427.700012207,22.490737915
428.350006104,22.651069641
429.000000000,22.377973557
429.649993896,22.379045486
430.299987793,22.626209259
430.950012207,22.791658401
431.600006104,22.771856308
432.250000000,22.757497787
432.899993896,22.769426346
433.549987793,22.736507416
434.200012207,22.856983185
434.850006104,23.039390564
435.500000000,23.088298798
436.149993896,23.016279221
436.799987793,22.826389313
437.450012207,22.592899323
438.100006104,22.642808914
438.750000000,22.971866608
439.399993896,23.128810883
440.049987793,22.975856781
440.700012207,23.065382004
441.350006104,23.505826950
442.000000000,24.155992508
442.649993896,25.101329803
443.299987793,25.958242416
443.950012207,26.745988846
444.600006104,27.607784271
445.250000000,28.068395615
445.899993896,28.176353455
446.549987793,27.916069031
447.200012207,27.369279861
447.850006104,26.661203384
448.500000000,26.184406281
449.149993896,25.629278183
449.799987793,24.880697250
450.450012207,24.121969223
451.100006104,23.676725388
451.750000000,23.543756485
452.399993896,23.409294128
453.049987793,23.303506851
453.700012207,23.271032333
454.350006104,23.206739426
455.000000000,22.880367279
455.649993896,22.292797089
456.299987793,21.781909943
456.950012207,21.434022903
457.600006104,21.261674881
458.250000000,21.296236038
458.899993896,21.483812332
459.549987793,21.561086655
460.200012207,21.532375336
460.850006104,21.538902283
461.500000000,21.533946991
462.149993896,21.519718170
462.799987793,21.467315674
463.450012207,21.420581818
464.100006104,21.394689560
464.750000000,21.312292099
465.399993896,21.133995056
466.049987793,21.178167343
466.700012207,21.237630844
467.350006104,21.277982712
468.000000000,21.540744781
468.649993896,21.865957260
469.299987793,21.990152359
469.950012207,22.090724945
470.600006104,22.305347443
471.250000000,22.342386246
471.899993896,22.308155060
472.549987793,22.352764130
473.200012207,22.412210464
473.850006104,22.559873581
474.500000000,22.711240768
475.149993896,22.640033722
475.799987793,22.571825027
476.450012207,22.620445251
477.100006104,22.572004318
477.750000000,22.542215347
478.399993896,22.688888550
479.049987793,22.852571487
479.700012207,23.063024521
480.350006104,23.267951965
481.000000000,23.483654022
481.649993896,23.958559036
482.299987793,24.608215332
482.950012207,25.163740158
483.600006104,25.609964371
484.250000000,25.887002945
484.899993896,26.055948257
485.549987793,26.213317871
486.200012207,26.408823013
486.850006104,26.382535934
487.500000000,26.132368088
488.149993896,26.068613052
488.799987793,26.116256714
489.450012207,25.761199951
490.100006104,25.270681381
490.750000000,24.764532089
491.399993896,24.321260452
492.049987793,24.192630768
492.700012207,24.043968201
493.350006104,23.993745804
494.000000000,24.163328171
494.649993896,24.429597855
495.299987793,24.322422028
495.950012207,23.985021591
496.600006104,23.801670074
497.250000000,23.799726486
497.899993896,24.032033920
498.549987793,24.220592499
499.200012207,23.942335129
499.850006104,23.565105438
500.500000000,23.313573837
501.149993896,23.161396027
501.799987793,23.014862061
502.450012207,22.791772842
503.100006104,22.877471924
503.750000000,22.873802185
504.399993896,22.461305618
505.049987793,21.954732895
505.700012207,21.610679626
506.350006104,21.467533112
507.000000000,21.457220078
507.649993896,21.442964554
508.299987793,21.342037201
508.950012207,21.293823242
509.600006104,21.350025177
510.250000000,21.382442474
510.899993896,21.412275314
511.549987793,21.410511017
512.200012207,21.469795227
512.849975586,21.504728317
513.500000000,21.550121307
514.150024414,21.605911255
514.799987793,21.902614594
515.450012207,22.468997955
516.099975586,22.951278687
516.750000000,23.166027069
517.400024414,23.263067245
518.049987793,23.339481354
518.700012207,23.472364426
519.349975586,23.731313705
520.000000000,24.119853973
520.650024414,24.270996094
521.299987793,24.624477386
521.950012207,24.807403564
522.599975586,24.938097000
523.250000000,25.361316681
523.900024414,25.918575287
524.549987793,26.146627426
525.200012207,26.179798126
525.849975586,26.076450348
526.500000000,26.068132401
527.150024414,25.770143509
527.799987793,25.103490829
528.450012207,24.536493301
529.099975586,24.363027573
529.750000000,24.237922668
530.400024414,23.985479355
531.049987793,23.573247910
531.700012207,23.060113907
532.349975586,22.511318207
533.000000000,22.057519913
533.650024414,21.716642380
534.299987793,21.311046600
534.950012207,20.961458206
535.599975586,20.819921494
536.250000000,20.799072266
536.900024414,20.953090668
537.549987793,20.932891846
538.200012207,20.820751190
538.849975586,20.956634521
539.500000000,21.367748260
540.150024414,21.908935547
540.799987793,21.984998703
541.450012207,21.462160110
542.099975586,21.213079453
542.750000000,21.387815475
543.400024414,21.701185226
544.049987793,22.087850571
544.700012207,22.556488037
545.349975586,23.074014664
546.000000000,23.718311310
546.650024414,24.262594223
547.299987793,24.583091736
547.950012207,24.745939255
548.599975586,25.068918228
549.250000000,25.566410065
549.900024414,25.932136536
