Distance_(µm),Gray_Value
538.849975586,18.887168884
539.500000000,19.187217712
540.150024414,19.376211166
540.799987793,19.407157898
541.450012207,19.332761765
542.099975586,19.433382034
542.750000000,19.584070206
543.400024414,19.582664490
544.049987793,19.616451263
544.700012207,19.821399689
545.349975586,20.066621780
546.000000000,20.476119995
546.650024414,20.710556030
547.299987793,20.889242172
547.950012207,21.084768295
548.599975586,21.074319839
549.250000000,21.005380630
549.900024414,20.910984039
550.549987793,20.843555450
551.200012207,20.487812042
551.849975586,20.230777740
552.500000000,20.182458878
553.150024414,20.245887756
553.799987793,20.214021683
554.450012207,20.218153000
555.099975586,20.265724182
555.750000000,20.212963104
556.400024414,20.128238678
557.049987793,20.306118011
557.700012207,20.372726440
558.349975586,20.250249863
559.000000000,20.106803894
559.650024414,20.212835312
560.299987793,20.606595993
560.950012207,21.087141037
561.599975586,21.531957626
562.250000000,21.934326172
562.900024414,22.415092468
563.549987793,22.582181931
564.200012207,22.433753967
564.849975586,22.096590042
565.500000000,22.173606873
566.150024414,22.540437698
566.799987793,22.387826920
567.450012207,21.713214874
568.099975586,21.023632050
568.750000000,20.544393539
569.400024414,20.185058594
570.049987793,20.292213440
570.700012207,20.398756027
571.349975586,20.238126755
572.000000000,20.173631668
572.650024414,20.174198151
573.299987793,20.342964172
573.950012207,20.638313293
574.599975586,20.606311798
575.250000000,20.328376770
575.900024414,20.432689667
576.549987793,20.710933685
577.200012207,20.731401443
577.849975586,20.617929459
578.500000000,20.534664154
579.150024414,20.689916611
579.799987793,20.622615814
580.450012207,20.589254379
581.099975586,20.406036377
581.750000000,20.209980011
582.400024414,20.253528595
583.049987793,20.155677795
583.700012207,20.012765884
584.349975586,20.032161713
585.000000000,20.153577805
585.650024414,20.432163239
586.299987793,20.493234634
586.950012207,20.504400253
587.599975586,20.674617767
588.250000000,20.644151688
588.900024414,20.313741684
589.549987793,20.131101608
590.200012207,19.901962280
590.849975586,19.518962860
591.500000000,19.191240311
592.150024414,19.016790390
592.799987793,18.992561340
593.450012207,18.919227600
594.099975586,18.872863770
594.750000000,18.722831726
595.400024414,18.578611374
596.049987793,18.634202957
596.700012207,18.590887070
597.349975586,18.747983932
598.000000000,19.053258896
598.650024414,18.918119431
599.299987793,18.738645554
599.950012207,18.809051514
600.599975586,18.766870499
601.250000000,18.741249084
601.900024414,18.797534943
602.549987793,18.699174881
603.200012207,18.483778000
603.849975586,18.338699341
604.500000000,18.359416962
605.150024414,18.242990494
605.799987793,18.039453506
606.450012207,18.043222427
607.099975586,18.281852722
607.750000000,18.554944992
608.400024414,18.575651169
609.049987793,18.443679810
609.700012207,18.439701080
610.349975586,18.475149155
611.000000000,18.476747513
611.650024414,18.627811432
612.299987793,18.855806351
612.950012207,18.832643509
613.599975586,18.604379654
614.250000000,18.462568283
614.900024414,18.622488022
615.549987793,18.944267273
616.200012207,19.090137482
616.849975586,19.150726318
617.500000000,19.212253571
618.150024414,19.289110184
618.799987793,19.434352875
619.450012207,19.512203217
620.099975586,19.518266678
620.750000000,19.224372864
621.400024414,18.939754486
622.049987793,18.830240250
622.700012207,18.854364395
623.349975586,18.808311462
624.000000000,18.743835449
624.650024414,18.823200226
625.299987793,18.847711563
625.950012207,18.866765976
626.599975586,19.041130066
627.250000000,19.177217484
627.900024414,19.189325333
628.549987793,19.008651733
629.200012207,18.812282562
629.849975586,18.561529160
630.500000000,18.319528580
631.150024414,18.332473755
631.799987793,18.517465591
632.450012207,18.583259583
633.099975586,18.646520615
633.750000000,18.624374390
634.400024414,18.464323044
635.049987793,18.138910294
635.700012207,17.872879028
636.349975586,17.837503433
637.000000000,17.753971100
637.650024414,17.555608749
638.299987793,17.643590927
638.950012207,17.628280640
639.599975586,17.453567505
640.250000000,17.598917007
640.900024414,17.945352554
641.549987793,18.357122421
642.200012207,18.441751480
642.849975586,18.559484482
643.500000000,18.706256866
644.150024414,18.522785187
644.799987793,18.139381409
645.450012207,17.858242035
646.099975586,17.821376801
646.750000000,17.946386337
647.400024414,18.126680374
648.049987793,18.401847839
648.700012207,18.353319168
649.349975586,18.065200806
650.000000000,18.095037460
650.650024414,18.290750504
651.299987793,18.246089935
651.950012207,18.189094543
652.599975586,18.129495621
653.250000000,18.349805832
653.900024414,18.682317734
654.549987793,18.921371460
655.200012207,18.951004028
655.849975586,18.819913864
656.500000000,18.678348541
657.150024414,18.551824570
657.799987793,18.457290649
658.450012207,18.426847458
659.099975586,18.353107452
659.750000000,18.161487579
660.400024414,18.108655930
661.049987793,17.988399506
661.700012207,18.037538528
662.349975586,18.032674789
663.000000000,17.646724701
