 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C013, C014, C015, C016, C017, C018, C019, C020, C021, C022, C023, C024, C025, C026, C027, C028, C029, C030, C031, C032, C033, C034, C035, C036, C037, C038, C039, C040, C041, C042, C043, C044, C045, C046, C047, C048, C049, C050, C051, C052, C053, C054, C055, C056, C057, C058, C059, C060, C061, C062, C063, C064, C065, C066, C067, C068, C069, C070, C071, C072, C073, C074, C075, C076, C077, C078, C079, C080, C081, C082, C083, C084, C085, C086, C087, C088, C089, C090, C091, C092, C093, C094, C095, C096, C097, C098, C099, C100
Time(s)/Cell Status, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided
176.72928,-2193.29,-4780.514,-2914.975,464.2653,86.13965,-641.4262,-1796.856,6825.577,-1524.129,-2441.874,-2853.501,-1032.852,-1925.28,-2117.979,-1706.237,-930.3416,-1312.885,2162.685,44408.04,-3929.958,-2758.052,-96.34783,-2605.967,2292.094,-304.9253,-1999.481,-8.024987,-3350.422,-1251.455,-3006.236,241.1155,-1232.319,-4020.714,4235.458,-674.6487,-1788.446,-4819.03,-1546.406,-2380.416,3382.735,-4578.193,-3219.203,-723.6339,-1196.563,-3319.413,-733.4025,5187.035,1418.764,-4974.025,-105.2301,112.4808,2167.667,1153.602,351.018,-1034.962,-1726.529,15956.89,-650.6665,-2547.787,-2482.868,351.5158,12221.84,-228.8949,-3990.623,-2585.532,1102.965,-991.5101,-340.6131,343.9754,-236.4566,1001.314,2276.577,-2673.517,929.453,11665.7,427.3601,39.47191,-1896.973,-2383.897,-132.9469,-1420.734,487.8265,-5544.765,-2411.982,1046.725,-3789.248,-1185.161,2017.842,-2147.702,726.6218,-1816.112,-2158.788,-1388.436,-576.1027,-1962.417,4709.017,472.8191,354.0041,298.4654,-1205.449,-649.4369
176.82924,-3790.191,-2794.045,-4105.944,679.9708,-603.802,-1877.98,221.0282,13701.37,-1779.53,-3575.319,-2821.654,-1572.336,-1743.668,-1430.21,-2695.846,3200.371,-1305.381,78.46188,43641.28,-3033.081,-2610.093,691.9274,-2214.985,3917.187,-1072.721,-379.5297,-626.1922,-3356.013,107.9259,-2220.676,-548.4546,2249.219,-3267.542,3006.004,-1340.907,-2923.517,-4763.363,-2588.73,-1444.084,2082.974,-3909.949,-2050.048,686.4543,-1799.779,-2991.708,1958.914,4343.214,-706.7166,-4360.02,-1460.762,-641.1995,1792.643,1702.219,14.60929,-3220.067,-1127.615,15251.62,-3328.781,-3940.421,-1973.719,-240.0543,11064.08,-1856.243,-1268.078,-2234.289,2577.215,-1870.015,-2367.058,-122.6842,-2235.805,2989.084,3145.669,-1041.13,-1435.073,12887.08,155.2606,-1732.63,-1331.417,-2218.17,-504.5982,-1564.686,-1144.784,-4054.766,-1960.321,3292.261,-2027.719,-1642.868,2170.247,-3749.217,-1439.154,-1608.611,-17.30316,239.6873,-1379.617,11.67451,4081.591,-3262.938,-288.9106,-806.9521,-1333.089,-1507.5
176.9292,-3459.989,-2819.626,-1930.012,-41.11544,-1683.434,357.4098,-2664.953,12171.57,-2943.828,-3587.674,-1341.431,135.9654,-566.8947,-2021.635,-2155.115,-413.9328,-1679.787,745.4914,44665.37,-2047.244,-3609.715,260.6609,-3793.638,3008.017,-2673.704,-3137.007,366.5335,-2225.531,-987.2485,-890.7477,-2923.632,1170.848,-2501.633,3659.78,-2926.984,-1644.985,-4833.599,305.359,-1878.768,603.2547,-2524.307,-3298.095,-1752.408,514.2286,-4256.733,-144.2158,6891.906,2139.243,-3325.649,-1312.797,1708.137,362.3557,1036.962,-1208.573,-3783.091,-2742.694,15958.34,-1764.256,-4291.794,-836.8514,-1485.274,11722.39,-1848.29,-1380.858,-1652.353,427.5647,-1521.169,-1545.382,-436.9837,-1706.14,4875.581,2027.515,-1409.258,-101.0474,13405.07,-156.2495,-1585.003,-2738.135,-1958.672,-1839.714,-912.6854,124.6891,-6187.395,-3962.458,2550.781,-3101.634,-4724.04,3765.53,-1064.653,-949.3737,-3028.203,-2846.237,-1243.891,423.0988,-1413.799,3839.329,-1809.568,-1279.398,-1252.6,-485.7784,-1431.51
177.02916,-4501.444,-3718.088,-1477.341,1474.86,-243.3114,429.7328,-737.2722,11999.42,-2698.972,-1697.367,-3554.708,433.1642,-589.0188,-846.1566,-1634.911,-2892.735,-1034.927,-241.3677,40295.54,-2364.242,-2840.645,652.7148,-162.9998,2139.872,-220.9377,-1827.812,1099.19,-4127.992,-2836.403,-2229.805,-2553.066,650.8726,-4491.36,2510.558,-2937.448,-1599.362,-4304.011,-2427.101,-2429.043,981.1768,-2402.953,-1113.98,-1155.199,-1630.391,-1835.999,75.39347,5217.755,1317.784,-5284.181,-2684.202,958.8524,1149.692,369.1655,761.3538,-871.8973,-3684.372,13579.49,-830.9337,-2650.001,-850.1406,-433.624,11644.18,-3176.271,-3399.487,-1157.238,340.839,-2444.043,-2722.553,61.40561,-1673.173,2331.852,1103.05,-856.7856,-647.4274,10047.66,-536.6174,-1768.681,-2912.671,-754.5046,-635.3498,-531.6243,-978.1749,-4023.681,-1267.324,1570.023,-3458.347,-2855.049,2895.508,25.11328,478.1694,-2028.159,-703.6102,2001.714,-2390.014,158.1848,4303.584,-1727.323,-1059.512,-698.9136,-810.1058,-1469.557
177.12912,-3591.542,-3313.839,-2623.539,2096.47,-1193.929,2725.995,-677.1133,11490.58,-1306.133,-2519.488,-3310.548,-852.9821,-1469.312,-1820.376,1677.78,-2132.61,-2597.013,-872.6644,35521.25,-3318.963,-3791.422,-1046.724,-1757.947,3067.491,-2067.955,-1543.841,520.6716,-4812.685,-2069.447,-3952.962,-2167.741,26.83335,-1378.431,1151.529,-2736.767,-708.4647,-5595.597,-1090.622,-2092.444,3253.614,-2961.147,-1390.281,47.12254,-193.6632,-3983.635,-739.6203,5778.993,3103.789,-2938.914,-447.075,-227.0347,427.875,-994.3973,146.9031,-1436.586,-3154.661,15541.02,-3114.391,-2875.411,-2772.684,-1480.955,10824.18,-1954.087,380.5605,-1227.979,957.3973,-1576.705,-1025.55,-467.3277,-1975.912,2224.419,2791.39,-2547.468,-1787.638,8905.929,-2287.457,-1192.382,-1265.56,-624.5938,-1429.687,-1411.339,2413.664,-6117.975,-3717.774,2499.884,-1879.273,-3012.047,3088.665,-2717.992,548.7137,-2179.45,-1975.065,1859.738,-746.6699,125.316,3044.389,-2293.554,332.4304,-747.8102,-2045.773,-1822.655
177.22908,-5418.208,-4571.492,-1849.397,-72.92175,-2766.456,2461.808,-297.999,11773.93,-716.2468,-4382.971,-1233.773,-708.5425,-2585.274,-2305.543,-1580.438,-668.5259,-1005.571,113.4268,33425.61,-2409.93,-2329.16,-1503.606,-2554.032,2320.594,-1944.819,-2834.626,2204.979,-4480.063,-1421.369,-2340.354,-551.0106,119.3176,-458.597,979.1622,-1348.819,-2593.622,-5482.712,-2270.417,-1850.847,2976.061,-4559.321,-2995.05,1012.938,-256.885,-2424.97,-787.4445,5382.052,1785.055,-2737.94,-492.5371,662.6983,-641.6949,-1398.223,-408.3073,-607.0662,-1296.611,15821.19,-1623.077,804.6761,-2304.476,-1445.294,7544.652,276.6876,2.549387,-1116.858,165.3438,-304.4203,-1274.035,-519.5455,-2650.463,4323.688,2067.933,296.056,578.34,7303.831,-2308.292,-390.4464,-667.5201,-876.4511,-1076.508,-1130.844,96.68023,-5083.724,-2965.579,657.6607,-2907,-4548.119,2078.888,-2181.118,-167.8652,-3491.372,-694.2823,772.0938,-836.3362,-292.5374,2928.856,-907.6216,-627.8524,-1004.114,-141.2598,-1571.856
177.32904,-4186.034,-2858.025,-3159.701,-435.2001,-2977.159,3622.62,-2118.44,9906.131,-2670.784,-2818.093,-1992.765,-2412.709,-2111.225,-1278.781,-2218.767,-904.9841,-1272.471,-2062.791,30420.49,-5045.244,-4039.806,-540.5556,-1351.133,1129.215,-1822.127,-2522.866,48.04664,-3194.726,-80.40828,-896.019,-1757.192,1463.098,-3233.954,404.1227,-3677.607,-1644.675,-4028.526,-1281.098,-1193.646,1972.201,-2889.991,-1461.316,-1489.826,-809.6357,-3817.947,1381.158,8118.791,1205.492,-2096.75,-2358.266,70.45982,1265.99,-2068.401,399.0899,-2241.732,-1107.309,12349.29,-2663.301,-1109.606,-1847.172,-2048.396,8132.522,-558.0074,326.8095,-1885.481,58.68472,128.598,-1657.171,-34.39006,-919.7162,5110.511,1994.028,-2402.287,-1090.719,7468.647,-1555.717,-2794.979,-1711.244,-1093.06,293.862,-2969.155,-91.23849,-4736.568,-1832.278,1137.75,-2637.895,-2091.294,2126.851,-2916.277,-269.3568,-3107.461,-2445.468,151.8996,-2437.874,-729.8563,5158.559,-2216.874,1646.778,-477.9768,-2478.926,-1249.713
177.429,-4493.888,-2854.413,-2378.531,672.0468,286.0206,2388.128,-3170.773,8204.421,915.1251,-2644.984,-1685.865,-1619.595,-1845.167,-785.1829,47.61233,-1021.157,-885.6412,734.8655,30800.9,267.7469,-714.8393,837.7711,-2333.54,1456.983,952.6704,-695.3317,867.1939,-3133.205,-2198.096,76.29009,-2148.948,732.0714,-1080.563,2252.457,-2883.128,-172.9737,-4806.011,-1414.65,-2089.277,2976.148,-155.7534,-2724.023,-1161.873,-1717.968,-3059.577,1865.754,8665.803,1268.415,-2898.956,-1309.115,225.9817,1122.891,-3259.226,-1031.501,-992.8228,-2544.204,12559.49,-3213.617,-1182.56,-1133.677,229.7985,10829.12,-959.8667,-182.6775,-1341.613,232.8959,-2773.501,-1680.723,-1667.231,-733.4679,4100.797,942.7347,-3098.3,-298.3184,5081.732,-1906.713,-1016.744,-1939.776,-1217.936,-320.0682,-2017.083,-807.58,-4541.804,-2894.933,-624.9368,-3314.227,-1327.542,6123.431,-3932.431,1126.484,-1695.854,-978.032,-1510.801,-2726.081,-824.6971,3793.935,-2040.856,-960.919,-169.1732,-1340.914,-2914.901
177.52896,-4790.795,-4534.977,-2646.714,1321.398,-892.9238,757.585,-2103.567,6169.995,-2448.856,-1809.021,-1817.835,-630.0753,-3842.073,-1911.566,-812.2982,1215.981,-2812.842,1012.369,37314.29,-1621.112,-4478.832,-1525.26,-835.6459,-439.3855,-785.5553,-2843.245,-846.1221,-3153.084,-736.7344,-455.7033,-1553.564,1901.92,-1829.738,844.8167,-3027.798,-755.7186,-1616.838,-1025.907,-2031.504,1959.584,-3026.143,-4731.275,269.0616,-3051.014,-2685.34,-667.0035,4983.914,-577.2134,-3497.752,-3018.967,-435.1086,-180.3901,-952.3838,1872.438,-2737.116,-1552.29,11044.81,-4629.566,-2559.763,-1585.806,-1844.392,11866.68,-2271.123,-514.9193,-675.3929,956.2042,-211.6651,189.0184,-1049.602,-2958.747,4246.543,664.94,1334.055,-1685.83,6156.557,-1510.072,-1214.456,-1316.303,-461.9822,-64.07757,-3267.741,-1102.74,-5623.871,-3979.162,928.2088,-2404.482,-189.2615,3777.517,-3284.69,697.3218,-4138.939,-956.3926,-1496.106,-1252.164,-776.0959,5822.45,-3246.393,-1336.99,5.876608,-4378.705,-1681.221
177.62892,-5283.657,-6442.56,-3236.415,2505.632,-950.1849,858.5394,-2731.763,5552.446,-3417.102,-3016.614,-2107.018,-2037.987,-4310.953,-137.6966,-395.5722,-524.2036,-1444.754,-123.0728,36291.59,-1897.031,-4212.503,-363.7657,319.7103,2103.07,-305.8801,-2110.271,1793.157,-5329.931,-2338.859,-2019.89,-2371.023,-147.7085,-830.4226,1622.207,-3867.788,-961.9232,-4198.56,-1219.945,-464.0682,4035.727,-1434.246,-2792.88,637.2395,-166.4837,-3988.915,1151.971,6014.958,2260.565,-3607.307,-688.7089,-1094.671,1039.897,-1343.16,1291.001,-1565.759,-967.7948,12029.92,-1910.611,-1824.36,-2332.791,386.1382,13123.31,-2927.442,-3514.405,-974.6711,1179.683,-266.4078,641.7973,172.9991,-766.8282,4995.094,1389.633,655.5207,211.2163,5773.307,-1759.985,-482.182,-2160.723,-1135.261,1548.965,-2041.046,1045.169,-3829.75,-2004.414,1297.202,-1362.859,-2258.409,6053.574,-2443.605,-301.9346,-3210.784,693.9688,-2805.827,-1992.266,-1372.204,5721.915,-2541.653,-1146.879,1496.909,-3619.008,-2097.442
177.72888,-6392.16,-2230.778,-2215.777,2419.568,-1001.856,5041.3,-2064.835,6293.069,-2625.898,-3612.609,-3480.926,-1564.807,-2447.912,-2804.95,-2177.147,14.99624,-3137.618,-44.18818,37498.37,-972.06,-3729.412,-1038.218,-622.2303,561.4792,1718.489,-1747.716,2057.75,-2863.816,-2044.686,-752.1435,-2917.2,1061.97,-412.241,1454.737,-2190.21,151.8121,-1058.019,-999.556,-1118.088,7654.434,-3098.485,-4371.415,1965.915,34.13993,-2855.492,-171.0498,5939.95,5630.591,-2984.633,-2110.211,1009.385,113.3108,-86.61049,1576.155,-3059.458,-3970.976,9970.154,-1819.515,-3968.356,-889.7023,-2084.398,12815.19,-1589.389,-1061.849,-2343.238,-118.339,-1690.273,-759.5708,-1420.372,-2281.304,4645.335,-552.38,-2704.766,-712.1133,7006.854,-2485.239,-1853.718,-1443.589,-1755.313,465.2763,-1338.432,-1001.888,-5772.077,-1986.152,1013.77,-2781.95,-1747.339,7477.742,-2977.177,-202.4037,-5653.329,-1220.92,-2633.01,-1076.665,-1352.245,5669.365,-2233.83,646.6268,-1373.348,-3177.752,-1399.065
177.82884,-1637.959,-2440.226,-2832.263,494.5742,-593.2047,3363.81,-1831.863,5402.303,-1000.051,-2652.198,-1539.842,-806.8795,-2141.501,-846.6731,-1420.65,367.6515,-1191.048,-1032.982,37070.98,-588.5045,-2166.302,-1794.54,-1304.203,-92.24364,-549.0657,-4241.27,-854.7198,-3998.374,-2091.224,-1284.413,-599.9308,404.7218,-199.3475,1208.218,-2927.951,-80.72995,-2602.833,-2366.42,-2379.182,5406.976,-2077.87,-3466.169,3184.851,896.9427,-2768.702,-1222.044,5658.723,5407.852,-2283.038,166.5614,-194.7836,1262.409,-3064.818,965.0757,-2658.565,-2527.287,9350.604,-1266.639,-2061.749,-1866.248,-223.7188,8729.808,-1989.348,-3124.267,-1313.846,40.83174,-1987.261,278.8647,690.4286,-487.4413,7251.698,387.5202,560.4801,-522.9147,6358.804,-766.092,-36.7668,-1498.198,-1178.538,-32.4395,-2701.634,-850.7727,-3248.533,-2146.657,-373.4466,-2232.075,-1578.175,9021.685,-1827.842,1330.445,-1939.129,-458.4263,-1158.705,-2071.625,-3187.999,5394.734,-874.1613,38.39412,-1600.631,-2016.615,-1241.303
177.9288,-777.8545,-3164.761,-2053.625,-720.9697,435.2551,2743.883,-1743.73,4962.256,-99.39321,-2082.29,-1269.375,-1528.807,-2331.398,-1059.51,-1781.368,-892.6271,-1943.715,-1297.163,34571.07,-1013.125,-2387.364,-1087.064,-1243.056,-1047.572,-293.0532,-3979.372,1963.917,-5248.571,-1373.664,-1787.517,-3249.12,-106.4245,-80.16051,1677.633,-591.6282,628.4612,-4938.394,-893.1467,379.0432,5353.216,-2551.388,-3002.049,3025.115,-943.7495,-4606.664,2160.261,5523.13,3461.681,-796.0833,-1689.671,126.4014,584.0836,-3892.894,121.1054,-1898.139,-1372.859,8072.957,-1390.426,-1580.621,-1644.694,-380.3679,8684.503,-2327.872,204.0142,-873.0616,248.4668,188.7999,-2031.33,-1898.199,-29.0023,5648.012,-1016.396,-445.7883,-2306.162,5035.9,-1555.912,-1796.32,-972.2419,-1679.385,-592.9268,-3133.17,-419.9311,-2874.759,-2565.802,-618.3448,155.5342,-3320.737,6033.005,-984.3713,-605.4243,-3337.88,574.2792,-2957.079,-1423.847,-1584.492,4920.203,-67.92318,-272.3497,-1906.016,-3401.536,-2551.568
178.02876,-1611.982,-5329.975,-2304.523,-1080.998,-1356.276,2359.809,-364.1759,4913.036,-1559.147,-1901.755,-2229.85,-1235.511,-2564.915,-156.3017,-2415.21,1112.804,-1717.311,-1830.561,27470.2,-782.7936,-1989.397,179.7446,228.4556,687.1395,2082.175,-1397.84,1955.067,-3083.9,-1540.781,-138.5254,-4012.278,818.458,3133.85,2680.832,-2715.55,572.7106,-2947.373,-739.6571,-1410.769,576.4265,-2469.499,-2799.751,1288.698,-1077.634,-2175.128,-674.7559,5930.063,2923.335,3320.173,-51.11705,59.09962,-228.4539,-2495.476,-1620.957,-1246.208,76.63466,7455.543,-1912.74,-1648.566,-804.8398,-1823.348,5068.438,-707.1385,-1622.163,-3285.181,-685.3176,-1864.65,-718.8202,-1038.289,2219.111,4726.959,-133.5151,-899.8024,-355.4055,3035.29,18.88674,-1320.077,-725.7676,-1786.754,-1840.542,-75.35015,-404.2044,-5735.871,-2801.016,-1165.394,-882.8555,-3362.215,3735.55,-2668.379,986.5275,-3537.673,-999.7654,-4403.579,-2838.512,-2521.717,2136.016,-1477.041,-2218.794,-120.3639,-3739.251,-2030.397
178.12872,-2212.502,-3564.538,-2065.417,419.9031,-1634.772,2259.735,-1059.543,4738.992,884.4415,-2424.938,-204.0522,-672.3572,-3061.945,1.01097,-336.1456,-1929.568,-2199.309,271.4491,29206.89,-957.4951,-1491.57,1718.616,-3318.871,2196.721,1273.908,-3158.884,927.4959,-4716.814,-866.24,-1527.233,-2101.227,715.9092,10085.39,633.4287,-2209.367,-951.555,-3277.63,1016.268,-1193.318,3090.696,-3763.74,-2484.506,1401.792,-2520.851,-3642.139,347.1817,5180.887,-495.0135,8087.392,-2181.216,407.1882,-673.5686,-4126.382,303.9153,-4388.718,-2759.267,7101.702,-1263.684,-2461.666,-1771.215,-2342.376,5071.287,-305.5877,-205.3607,-373.8887,796.3003,-1736.671,-848.6489,-678.0167,1706.268,5668.942,-195.7754,-1125.482,791.2869,1921.699,-359.8675,404.7703,-2020.202,-379.8596,-569.4053,-1312.719,-2235.094,-3549.952,-4244.297,-2133.013,3357.246,-911.3035,3830.727,-2827.02,957.5056,-4039.904,617.7102,-4831.342,-1086.844,-681.3655,2451.844,-1559.161,-547.7233,300.3381,-2763.899,-3509.743
178.22868,-238.4654,-2600.369,-586.5324,-1184.608,-525.2037,2171.92,-619.1481,5014.053,-1136.271,-1297.562,-3447.578,-2966.255,-1780.792,-540.2746,-1890.048,-1149.444,-2733.645,-23.38628,32035.65,-2621.112,-644.0359,-124.0483,-1673.524,1720.554,-557.4138,-1147.401,-2038.073,-4087.847,-1407.212,-2180.002,-2536.767,-608.3328,13089.63,158.4153,-1425.627,-12.46816,-3741.676,-658.5436,-2098.761,340.7801,-2416.34,-521.3443,-98.71841,-1955.258,-4670.107,187.2043,4924.141,1535.798,11096.7,25.67075,-1092.959,-62.26784,-124.4823,741.667,-889.8201,-864.4562,5454.567,-871.7421,-1180.097,-631.6964,-1375.774,5210.374,1487.82,-3436.84,-993.5265,-349.9507,1415.003,-243.0376,-1969.623,807.6672,5928.563,1737.407,369.2719,896.3165,2679.794,125.3665,-294.6194,-875.7603,-1243.194,323.969,-2095.867,777.9125,-6619.738,-2672.046,-4379.367,4875.673,-1392.453,3256.825,-2724.073,221.7598,-3264.88,-811.1909,-5192.144,-1900.518,278.7916,2353.367,-1848.793,-613.915,-864.8159,-2667.403,-3070.625
178.32864,1081.655,-1361.193,-3392.142,-2522.231,-999.3674,1321.208,-1605.167,1787.794,-918.4262,-1752.183,-2228.209,-1488.524,-3961.717,-1504.935,-793.7178,-1632.992,-2085.589,-2076.018,34265.41,-2953.512,-1485.036,474.3239,-2956.122,603.0312,1087.42,-949.5811,907.5309,-2448.999,-1011.426,-1861.483,-706.0779,386.0648,12082.3,2583.053,-3617.912,-547.3184,-4639.435,-490.8336,-2069.694,1930.945,-2395.353,-1862.547,1267.395,-3239.235,-2710.967,945.1556,3436.101,269.2173,8023.489,-2150.991,-325.5076,-345.6979,2300.224,-1512.569,635.9745,-195.5935,4929.972,757.606,-1792.562,-1548.336,-1369.912,6471.87,-179.7674,-755.9474,560.3684,764.0142,-969.4501,-2186.369,584.7276,463.7886,4820.581,1403.152,-0.3258722,1119.564,1972.336,-584.72,-666.7321,-1319.97,-917.4092,-178.638,-483.2518,-745.3621,-4559.151,-1685.102,-2011.24,4244.979,-2922.896,3442.73,-739.1022,231.4688,-1043.218,-1285.311,-5847.226,-1205.973,243.2744,3607.048,-80.73335,-244.8186,-1506.633,-3220.118,-1517.081
178.4286,-2065.979,-3045.255,-2368.535,746.0164,0.332794,1037.871,-2062.98,2471.443,125.2102,-1825.205,-1641.24,-937.1633,-823.4023,-396.7827,155.2424,-1447.657,-1438.504,-416.0531,32735.6,-1363.921,-1951.623,-1520.023,-1573.975,2728.486,493.5598,-660.1352,188.9209,-1199.693,-1740.022,-1477.704,-3130.942,1480.584,10554.29,2286.734,-1062.301,-827.959,-4285.209,-2391.04,-2606.757,1136.78,-1840.08,-167.337,1763.391,750.8179,-1940.308,383.2154,3296.873,1564.986,6087.341,-980.1437,-604.9962,-27.37259,3877.375,-733.2815,271.162,-1289.548,4311.097,-2724.033,-750.7514,-2390.956,-1674.932,7022.657,-468.2073,-2975.198,-1136.418,-1680.619,-1218.588,-1305.341,438.3351,428.8709,3985.628,-103.7243,-749.5469,-938.697,1598.15,-1006.358,-443.1715,-1620.944,-1703.715,760.983,-653.7047,-105.4573,-5566.549,-1464.362,-1925.432,3131.327,-952.3538,4237.267,-2132.66,290.2253,-2319.95,-1718.714,-3750.368,-2443.05,-126.9292,2819.136,-1571.488,-470.9575,-753.6427,-3898.344,-1441.272
178.52856,-3981.021,-2593.017,-2257.63,-449.9619,-337.8079,1014.394,-508.1183,2319.609,-907.2756,-1711.5,-1740.088,-1702.263,-2323.743,-791.5269,-569.2161,3156.312,-2112.022,-1091.202,30468.5,-1165.24,-2626.262,1464.285,-2001.003,2335.489,928.5059,-1315.823,-3371.525,-1681.599,-2818.37,-1408.44,-3558.132,1688.749,10750.38,2751.87,-2095.209,-881.4913,-2671.396,-1665.158,-2051.271,2655.968,-2897.8,-2077.459,471.3247,-780.2856,-1746.095,26.10398,2912.904,59.03786,6340.691,-1555.535,-681.2653,2120.193,5099.646,-185.2178,-879.0421,-2852.603,2879.978,617.1377,-1535.374,-2609.33,-2630.635,9300.151,-805.0062,-2373.401,-914.4099,148.444,-107.2156,-1014.783,-778.8929,1170.125,1738.673,444.0767,-1268.846,-24.10074,3063.326,-112.8927,-985.0382,-1252.426,-24.10462,-609.841,603.4356,1261.797,-4550.484,-1959.344,1462.137,4472.831,-2301.337,1151.419,-2865.65,-3064.089,-3633.735,-1171.791,-3286.008,-1066.408,1019.796,5410.082,-557.2076,512.9553,-1256.027,-2600.977,-1497.064
178.62852,-1509.283,-3794.25,-2395.219,255.9955,1540.755,318.4832,-2121.413,2543.104,-2481.513,-3135.593,-3940.047,-1633.095,-3111.825,-140.5678,1123.42,1461.304,-2400.718,532.4944,37763.12,-1248.538,-4910.57,-1898.743,-1277.682,2951.367,-218.2938,-2301.905,-3039.175,-1354.589,7.91618,318.5705,-5686.822,798.7011,10758.44,2676.006,-1501.866,-508.0946,-1662.82,-469.568,-1477.148,3188.547,-918.2236,-1533.739,-958.6026,-1965.699,-2699.329,1660.432,3075.084,-1503.713,3173.288,-2127.128,-227.1506,365.1964,2908.282,-838.3156,2329.027,-1377.214,2266.543,-3085.986,-1875.97,-2419.239,-2510.38,9585.021,-2430.649,-3375.716,-361.2277,644.3892,-817.004,-237.9092,186.4829,-18.15412,39.11413,1430.22,-1622.358,-795.3664,2269.839,-1268.118,-1012.44,-3177.559,-1262.682,274.2433,601.243,-2709.7,-6360.224,-1139.308,666.0708,4478.725,-2689.493,3791.193,-2155.381,192.5776,-3295.716,-842.3239,-3990.502,318.0235,-8.35498,3532.009,-2665.269,-985.6534,-1045.992,-4484.335,-1233.254
178.72848,-1961.647,-2552.578,-2695.172,1044.486,-725.43,-314.1331,-4146.884,444.6636,-1307.77,-2540.083,-2989.488,-1536.441,-1806.027,-1737.924,514.9232,313.1694,-3462.714,112.2749,45225.54,-2433.842,-2056.004,-940.2961,361.1883,3045.594,-2078.836,509.0245,-721.311,-1057.023,-1912.442,-833.2508,-2698.499,-396.6282,12325.25,2429.982,-1956.47,-1637.324,-4353.572,-2284.478,-2139.421,2840.205,-3656.561,-1301.514,173.6051,-792.4478,-2323.07,-237.0534,4635.223,2463.555,4623.63,-4040.232,-1724.057,2112.49,2884.448,-1172.678,-826.0926,-1785.401,3174.678,-1253.194,-3583.798,-1092.11,-2368.056,14558.49,-4008.795,-617.881,-1599.92,-408.35,-638.8124,-941.6413,-1059.779,-1087.281,1658.488,350.8145,-1220.985,504.3443,931.4629,-1291.561,807.4875,-2968.519,-1181.498,350.7947,-768.262,-713.1828,-4668.844,-2673.674,-2618.631,4001.994,-3674.832,3288.649,-1918.856,-1248.384,-3114.372,-3109.116,-5284.359,-1821.017,-1833.736,5667.51,-1250.438,482.5267,-100.9669,-2958.955,-1191.187
178.82844,-3104.626,-3142.087,-2513.136,2608.331,-358.5532,1347.37,-519.0792,2425.76,-780.2632,-3696.98,-583.3598,-465.5791,-779.1708,188.5104,-1348.578,-1243.926,-1574.784,-333.4702,52437.5,-1612.044,-4446.589,743.8204,-309.6362,2901.458,151.145,-143.6452,-2703.684,-2025.669,-2209.439,-1441.082,-2768.315,441.2423,10768.97,1593.873,-1899.814,-1753.703,-2341.755,-225.165,260.6307,5357.792,-3365.485,-1310.37,472.3188,-943.2005,-3023.265,470.4002,4603.538,3444.335,5359.662,-1796.465,-653.9362,1204.186,1727.192,-733.8806,-1109.699,-1962.846,5532.913,-2892.864,-3825.517,-640.2332,-1831.398,17089.1,-1571.282,-3711.41,-20.57856,-904.7905,-759.0712,50.69718,-847.936,-1199.695,773.9722,740.2995,1010.033,-641.6288,1810.36,-1316.768,-507.5574,-3347.124,147.5199,-542.5662,-306.7399,-1251.589,-5749.921,-618.6835,404.4607,4226.318,-2893.939,7124.082,-3318.416,242.7567,-3160.002,-2361.254,-5511.419,-2336.794,-1198.214,4174.875,-618.2193,-565.8345,1255.239,-1622.467,-871.871
