Distance_(pixels),Gray_Value
614,30.8741
615,30.6565
616,30.4515
617,30.0955
618,29.6699
619,29.3413
620,29.2484
621,29.2968
622,29.3303
623,28.9165
624,28.0958
625,27.2859
626,26.8021
627,26.6040
628,26.3551
629,26.0262
630,25.7708
631,25.5593
632,25.3211
633,25.0170
634,24.5297
635,23.8849
636,23.0822
637,22.3112
638,21.7926
639,21.4983
640,21.2647
641,21.0111
642,20.6504
643,20.2862
644,19.9552
645,19.7115
646,19.4383
647,19.1689
648,19.0091
649,18.9641
650,18.9824
651,19.0155
652,18.9877
653,18.9110
654,18.8581
655,18.8035
656,18.6641
657,18.5475
658,18.4542
659,18.4474
660,18.4242
661,18.3508
662,18.3390
663,18.3260
664,18.3316
665,18.3318
666,18.2605
667,18.2213
668,18.2160
669,18.1408
670,17.9953
671,17.7786
672,17.5530
673,17.4438
674,17.3090
675,17.1734
676,17.0605
677,17.0647
678,17.0373
679,17.0619
680,17.1335
681,17.2084
682,17.1727
683,17.1091
684,17.0746
685,17.0838
686,17.1114
687,17.0490
688,16.9332
689,16.8027
690,16.6803
691,16.6094
692,16.5300
693,16.4531
694,16.3277
695,16.1451
696,15.9331
697,15.7292
698,15.5581
699,15.4433
700,15.4115
701,15.3471
702,15.2465
703,15.1033
704,14.9170
705,14.8053
706,14.7678
707,14.7774
708,14.7525
709,14.6821
710,14.5494
711,14.4227
712,14.2963
713,14.1845
714,14.0560
715,13.9112
716,13.8749
717,13.8468
718,13.7915
719,13.7693
720,13.7302
721,13.6471
722,13.5230
723,13.3571
724,13.1715
725,13.0027
726,12.8820
727,12.7911
728,12.7481
729,12.7225
730,12.6574
731,12.6063
732,12.5584
733,12.5276
734,12.4897
735,12.5108
736,12.5588
737,12.5980
738,12.5828
739,12.5387
740,12.4536
741,12.3664
742,12.2876
743,12.1737
744,12.0882
745,11.9730
746,11.8618
